"1","Workshop on Aceh Education Policy Study - Episode 1","Workshop-on-Aceh-Education-Policy-Study-Episode-1","<p style=""text-align:justify"">The Coordinating Team for Aceh Education Development (TKPPA) conducted a retreat on September 2014 in Sabang, which aimed to discuss several policy options put forward by the Education Policy Research in Aceh (EPRA) team. The policy options are the results of the analysis of the preliminary findings of the completed field surveys. During this event, research teams consulted the Government of Aceh on their field findings and together identified proper policy options that could be applicable. The retreat was attended by various related stakeholders such as Provincial Education Office, Aceh Education Council, Aceh Development Planning Agency (Bappeda), Aceh Ministry of Religious Affairs office, and the Legal Bureau of the Secretariat of the Government of Aceh.</p>
","","","Workshop Studi Kebijakan Pendidikan Aceh - Episode 1","","<p style=""""text-align: justify;"""">Tim Koordinasi Pembangunan Pendidikan Aceh (TKPPA) melakukan retreat pada bulan September 2014 di Sabang, yang bertujuan untuk membahas beberapa pilihan kebijakan yang diajukan oleh tim Penelitian Kebijakan Pendidikan di Aceh (EPRA). Pilihan kebijakan adalah hasil analisis temuan awal dari survei lapangan yang sudah dilakukan. Selama survey ini, tim peneliti berkonsultasi dengan Pemerintah Aceh tentang temuan lapangan mereka dan bersama-sama mengidentifikasi pilihan kebijakan yang tepat yang bisa diterapkan. Retreat ini dihadiri oleh berbagai stakeholder terkait seperti Dinas Pendidikan Provinsi, Dewan Pendidikan Aceh, Badan Perencanaan Pembangunan Daerah Aceh (Bappeda), Kantor Kementerian Agama Aceh, dan Biro Hukum Sekretariat Pemerintah Daerah Aceh.</p>","","","images/thumb/thumb_pt_en/video-Workshop-on-Aceh-Education-Policy-Study-Episode-1-pt.jpg","","images/thumb/thumb_lc_en/video-Workshop-on-Aceh-Education-Policy-Study-Episode-1-lc.jpg","","","","","ACDP Indonesia","","Video; Aceh; Education Policy; Teacher; Quality; Relevance; Stakeholders; Bappeda; EPRA; TKPPA; Government","Video; Aceh; Kebijakan Pendidikan; Guru; Mutu; Relevansi; Pemangku Kepentingan; Bappeda; EPRA; TKPPA; Pemerintah","The Coordinating Team for Aceh Education Development (TKPPA) conducted a retreat on September 2014 in Sabang, which aimed to discuss several policy op","Tim Koordinasi Pembangunan Pendidikan Aceh (TKPPA) melakukan retreat pada bulan September 2014 di Sabang, yang bertujuan untuk membahas beberapa pilih","","","12/1/2014 00:00:00","94","13","0","1","1","1","","6/15/2017 14:20:12","0/0/0000 00:00:00"
"2","Education Policy Research in Aceh","Education-Policy-Research-in-Aceh","<p style=""text-align:justify"">This video discuss about Education Policy Research in Aceh in general. Aceh Province is ranked number four in education spending per capita in Indonesia with the amount of 1.2 million rupiah. Unfortunately, the quality of education in Aceh, particularly the quality of teachers and students, is considerably low. Based on students&#39; scores for the state university entrance test, Aceh nationally sits at 33th place for natural sciences and 25th place for social sciences. In order to expedite the quality improvement in education sectors, the Government of Aceh established the Coordinating Team for Education Development in Aceh (TKPPA) through a gubernatorial decree date January 2010. TKPPA is the government &quot;think tank&quot; for research and formulation of education policies in Aceh.</p>
","","","Penelitian Kebijakan Pendidikan di Aceh","","<p style=""""text-align: justify;"""">Video ini membahas secara umum Penelitian Kebijakan Pendidikan di Aceh. Provinsi Aceh berada di peringkat nomor empat dalam belanja pendidikan per kapita di Indonesia dengan jumlah 1,2 juta rupiah. Sayangnya, kualitas pendidikan di Aceh, khususnya Mutu Guru dan siswa, masih cukup rendah. Berdasarkan skor tes siswa untuk masuk universitas negara, Aceh secara nasional duduk di tempat ke 33 untuk ilmu alam dan tempat ke 25 untuk ilmu-ilmu sosial. Dalam rangka mempercepat peningkatan kualitas di sektor pendidikan, Pemerintah Aceh membentuk Tim Koordinasi Pembangunan Pendidikan di Aceh (TKPPA) melalui keputusan gubernur pada Januari 2010. TKPPA adalah â€œ think tank â€ pemerintah untuk penelitian dan perumusan kebijakan pendidikan di Aceh.</p>","","","images/thumb/thumb_pt_en/video-Education-Policy-Research-in-Aceh-pt.jpg","","images/thumb/thumb_lc_en/video-Education-Policy-Research-in-Aceh-lc.jpg","","","","","ACDP Indonesia","","Video; Aceh; Education Policy; Teacher Supply and Demand; Teacher Recruitment;Teacher Management","Video; Aceh; Kebijakan Pendidikan; Ketersediaan dan Permintaan Guru; Manajemen Guru; Rekrutmen Guru","This video discuss about Education Policy Research in Aceh in general. Aceh Province is ranked number four in education spending per capita in Indones","Video ini membahas secara umum Penelitian Kebijakan Pendidikan di Aceh. Provinsi Aceh berada di peringkat nomor empat dalam belanja pendidikan per kap","","","12/1/2014 00:00:00","99","1","0","1","1","1","","6/15/2017 14:20:12","0/0/0000 00:00:00"
"3","Quality and Relevance of Senior Secondary Vocational Schools in Aceh","Quality-and-Relevance-of-Senior-Secondary-Vocational-Schools-in-Aceh","<p style=""text-align: justify;"">The first part of the video discuss about problems faced by vocational schools in Aceh and if the graduates ready to enter the workforce. Then, it depicts the expectation from the business and industry side, which suggest vocational schools to emphasise more on practice. The video then elaborates the study for improving the quality and relevance of vocational schools, which is started out with the priority set by the Government of Aceh in regards to education sectors as stipulated in Aceh Medium Term Development Plan (RPJMN), where vocational schools is emphasised. The study consists of five components. The first one is literature study, which studies statistical data, previous reports on vocational education, related planning documents, and regulations related to the issue. The second one is consultation with various stakeholders at national, provincial, and district levels. The third one is survey at vocational schools and the fourth is survey at companies that employ vocational schools' graduates. Finally, the last one is comparative study.</p>","","","Kualitas dan Relevansi Sekolah Menengah Kejuruan di Aceh","","<p style=""""text-align: justify;"""">Bagian pertama dari video membahas tentang masalah yang dihadapi oleh sekolah-sekolah kejuruan di Aceh dan apakah lulusan sekolah-sekolah tersebut siap memasuki dunia kerja. Video ini juga menggambarkan harapan dunia usaha dan industri, yang menginginkan sekolah kejuruan lebih menekankan pada praktek. Video ini lalu menguraikan studi untuk meningkatkan kualitas dan relevansi sekolah kejuruan, dimulai dari prioritas sektor pendidikan yang ditetapkan oleh Pemerintah Aceh sebagaimana diatur dalam Rencana Pembangunan Jangka Menengah (RPJMN) Aceh, dimana sekolah kejuruan diutamakan. Penelitian ini terdiri dari lima komponen. Pertama adalah studi pustaka, yang mempelajari data statistik, laporan sebelumnya tentang pendidikan kejuruan, dokumen perencanaan terkait, dan peraturan yang berkaitan dengan masalah ini. Kedua adalah konsultasi dengan berbagai pemangku kepentingan di tingkat nasional, provinsi, dan kabupaten. Ketiga adalah survey di sekolah-sekolah kejuruan dan keempat adalah survei di perusahaan yang mempekerjakan lulusan sekolah kejuruan. Terakhir adalah studi banding.</p>","","","images/thumb/thumb_pt_en/video-Quality-and-Relevance-of-Senior-Secondary-Vocational-Schools-in-Aceh-pt.jpg","","images/thumb/thumb_lc_en/video-Quality-and-Relevance-of-Senior-Secondary-Vocational-Schools-in-Aceh-lc.jpg","","","","","ACDP Indonesia","","Video; Vocational Education; Unemployment;Educational Finance;Vocational Education Teachers;Job Skills; Aceh; Quality; Relevance; Senior Secondary School","Video; Pendidikan Kejuruan; Pengangguran; Pembiayaan Pendidikan; Guru Pendidikan Kejuruan; Keterampilan Kerja; Aceh; Mutu; relevansi; Sekolah Menengah Atas","The first part of the video discuss about problems faced by vocational schools in Aceh and if the graduates ready to enter the workforce. Then, it dep","Bagian pertama dari video membahas tentang masalah yang dihadapi oleh sekolah-sekolah kejuruan di Aceh dan apakah lulusan sekolah-sekolah tersebut sia","","","12/1/2014 00:00:00","117","1","0","1","1","1","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/OUqX2ihSTIA"" frameborder=""0"" allowfullscreen></iframe>","6/15/2017 14:20:12","0/0/0000 00:00:00"
"4","Teacher Management","Teacher-Management","<p style=""text-align:justify"">This video graphic explains about aspects of teacher management, including supply, distribution, quality and cost. A number of findings and possible policy options taken from studies conducted the Analytical and Capacity Development Partnership (ACDP) and the follow up reports conducted by the OECD through ACDP support (Education in Indonesia: Rising to the Challenge, OECD/ADB, 2015). Teacher policy has to ensure alignment among these four dimensions and to make modifications in the various Laws and Regulations to address the many performance problems that have been identified in the education sector related to teacher management and development. A feature of the current policies regarding teachers is the lack of alignment and the unexpected consequences of some of the current policies which may have the effect of obstructing rather than enabling quality teaching and student learning.</p>
","","","Manajemen Guru","","<p style=""""text-align: justify;"""">Video Grafis ini menjelaskan tentang aspek-aspek pengelolaan guru, misalnya ketersediaan, penyebaran, mutu dan biaya. Sejumlah temuan dan pilihan kebijakan yang memungkinkan diambil dari studi yang dilakukan oleh Kemitraan untuk Pengembangan Kapasitas dan Analisis Sektor Pendidikan (ACDP) dan tindak lanjut laporan yang dilakukan oleh OECD melalui bantuan ACDP (Pendidikan di Indonesia: Rising to the Challenge, OECD / ADB, 2015). Kebijakan guru memastikan keselarasan antara keempat dimensi ini dan untuk membuat modifikasi dalam berbagai Peraturan dan Perundang-undangan untuk mengatasi banyak masalah kinerja yang telah diidentifikasi dalam sektor pendidikan terkait dengan manajemen dan pengembangan guru. Satu fitur dari kebijakan saat ini mengenai guru adalah kurangnya keselarasan dan akibat tak terduga dari beberapa kebijakan saat ini yang memiliki efek menghalangi daripada mendorong kualitas pengajaran dan pembelajaran siswa.</p>","","","images/thumb/thumb_pt_en/video-teacher-management-pt.jpg","","images/thumb/thumb_lc_en/video-teacher-management-lc.jpg","","","","","ACDP Indonesia","","Video; Teachers; Teacher Supply and Demand; Teacher Recruitment; Teacher Management; Teacher Distribution; Teacher Quality;Infographic","Video; Guru; Ketersediaan dan Permintaan Guru; Rekrutmen Guru; Manajemen Guru; Distribusi Guru; Mutu Guru; Info Grafis","This video graphic explains about aspects of teacher management, including supply, distribution, quality and cost. A number of findings and possible p","Video Grafis ini menjelaskan tentang aspek-aspek pengelolaan guru, misalnya ketersediaan, penyebaran, mutu dan biaya. Sejumlah temuan dan pilihan kebi","","","8/1/2015 00:00:00","93","1","0","1","1","1","","6/15/2017 14:20:12","0/0/0000 00:00:00"
"5","Teacher Preparation & Development","Teacher-Preparation-&-Development","<p style=""text-align:justify"">This video graphic depicts Teacher Preparation &amp; Management in Indonesia. Indonesia has around three million teachers. This is a very large supply of teachers compared to the number of students enrolled, and it is growing. Ten years ago there was around one teacher for every 20 students. Today there is around one teacher for every fifteen students. However, around one in ten teachers is absent from schools when they are meant to be teaching. Although the situation has improved since 2003 when one in five teachers was absent, teacher absenteeism remains a problem. Even when teachers are in school, they are often not in class when they should be. The loss of teaching time caused by teacher absenteeism has a negative impact on student learning. Teacher absenteeism is, above all, a problem of poor teacher management. It occurs when teachers work in multiple schools, have poor oversight by principals and are unequally distributed in the system. Improving teacher management is important to improving student learning.</p>
","","","Persiapan dan Pengembangan Guru","","<p style=""""text-align: justify;"""">Video grafis ini menggambarkan Persiapan & Pengelolaan Guru di Indonesia. Indonesia memiliki sekitar tiga juta guru. Jumlah ketersediaan guru ini lebih besar dibandingkan dengan jumlah siswa yang terdaftar, dan jumlahnya terus bertambah. Sepuluh tahun yang lalu ada sekitar satu guru untuk setiap 20 siswa. Saat ini ada sekitar satu guru untuk setiap lima belas siswa. Namun, sekitar satu dari sepuluh guru tidak hadir di sekolah ketika mereka harus mengajar. Meskipun situasi telah membaik sejak 2003 dimana hanya satu dari lima guru yang tidak hadir, ketidakhadiran guru tetap merupakan masalah. Bahkan ketika guru di sekolah, mereka sering tidak di kelas meskipun seharusnya berada di kelas. Hilangnya waktu mengajar yang disebabkan oleh fenomena tersebut memiliki dampak negatif pada proses pembelajaran siswa. Ketidakhadiran guru merupakan buah dari masalah pengelolaan guru yang buruk. Hal ini terjadi karena guru banyak yang bekerja di beberapa sekolah, tidak diawasi dengan baik oleh kepala sekolah mereka dan tidak secara merata didistribusikan dalam sistem pendidikan. Meningkatkan Pengelolaan Guru adalah hal yang sangat penting untuk meningkatkan kualitas pembelajaran siswa.</p>","","","images/thumb/thumb_pt_en/Teacher-Preparation-&-Development-(Vid)-pt.jpg","","images/thumb/thumb_lc_en/Teacher-Preparation-&-Development-(Vid)-lc.jpg","","","","","ACDP Indonesia","","Teachers; Teacher Supply and Demand; Teacher Recruitment; Teacher Management; Teacher Distribution; Teacher Quality;Video","Guru; Ketersediaan dan Permintaan Guru; Rekrutmen Guru; Manajemen Guru; Distribusi Guru; Mutu Guru; Video","This video graphic depicts Teacher Preparation &amp; Management in Indonesia. Indonesia has around three million teachers. This is a very large supply","Video grafis ini menggambarkan Persiapan & Pengelolaan Guru di Indonesia. Indonesia memiliki sekitar tiga juta guru. Jumlah ketersediaan guru ini lebi","","","8/1/2015 00:00:00","95","1","0","1","1","1","","6/15/2017 14:20:12","0/0/0000 00:00:00"
"6","Islamic Education in Indonesia","Islamic-Education-in-Indonesia","<p style=""text-align: justify;"">This video portrays Islamic Education in Indonesia in the past, present, and future. Islamic education resulting from the assimilation of religious values and scientific values plays a very important role in the development and the spread of moderate Islam in Indonesia. The government also considers the Islamic religious education subject as an important subject in schools. In 1952, Islamic religious education was included as an optional subject. In 1968, religious education became a compulsory subject and a requirement to graduate. Article 3 of Government Regulation 55 of 2007 stated that every education unit in all levels and types of education must deliver religious education. However, Islamic education in Indonesia faces various challenges. Bringing people together to face these and achieve the goals is not only the job of the government, but also the job of the people.</p>","","","Pendidikan Islam di Indonesia","","<p style=""""text-align: justify;"""">Video ini menggambarkan Pendidikan Islam di Indonesia di masa lalu, sekarang, dan masa yang akan datang. Pendidikan Islam sebagai hasil asimilasi nilai-nilai agama dan nilai-nilai ilmiah memiliki peran yang sangat penting dalam pengembangan dan penyebaran Islam yang moderat di Indonesia. Pemerintah juga menganggap pelajaran pendidikan agama Islam sebagai pelajaran penting di sekolah. Pada tahun 1952, pendidikan agama Islam termasuk sebagai pelajaran pilihan. Pada tahun 1968, pendidikan agama menjadi mata pelajaran wajib dan menjadi persyaratan kelulusan. Pasal 3 Peraturan Pemerintah No.55 tahun 2007 menyatakan bahwa setiap satuan pendidikan di semua tingkat dan jenis pendidikan harus memberikan pendidikan agama. Namun, pendidikan Islam di Indonesia menghadapi berbagai tantangan. Untuk menghadapi dan mencapai tujuan, semua pihak harus terlibat karena hal ini tidak hanya tugas pemerintah, tetapi juga tugas semua orang.</p>","","","images/thumb/thumb_pt_en/video-Pendidikan-Islam-(Video)-pt.jpg","","images/thumb/thumb_lc_en/video-Pendidikan-Islam-(Video)-lc.jpg","","","","","ACDP Indonesia","","Islamic Education;Islam;History;Documentary;Video","Pendidikan Islam; Islam; Sejarah; Dokumenter; Video","This video portrays Islamic Education in Indonesia in the past, present, and future. Islamic education resulting from the assimilation of religious va","Video ini menggambarkan Pendidikan Islam di Indonesia di masa lalu, sekarang, dan masa yang akan datang. Pendidikan Islam sebagai hasil asimilasi nila","","","11/1/2016 00:00:00","131","1","0","1","1","1","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/iD9nwWfBbTg"" frameborder=""0"" allowfullscreen></iframe>","6/15/2017 14:20:12","0/0/0000 00:00:00"
"7","Testimonials of Teachers & Students on New Learning Methodology for Islamic Religious Education","Testimonials-of-Teachers-&-Students-on-New-Learning-Methodology-for-Islamic-Religious-Education","<p style=""text-align: justify;"">As the title suggested, this video contains testimonials of teachers & students on new learning methodology for Islamic Religious Education. The first part of this video shows testimonial from Hasanudin, S.Pd.I, M.Pd.I, a teacher at Public Junior Secondary School 6 Makassar for Islamic Religious subject, who is among the ones that given a mandate to develop an Islamic Education learning methodology module, and H. Munir, S.Ag, M.Ag, the school principal, who hopes this method can be expanded to other subjects so everyone can reap its benefit. Then, Sahid, S.Ag, a teacher from Tamalanrea V Public Primary School also shares his view. Lastly, a number of notes from students on the new learning methodology is displayed.</p>","","","Testimoni Guru dan Siswa mengenai Metodologi Pembelajaran Baru pada Pendidikan Agama Islam","","<p style=""""text-align: justify;"""">Sebagaimana tersirat dalam judul, video ini berisi testimoni guru & siswa tentang metodologi pembelajaran baru untuk Pendidikan Agama Islam. Bagian pertama video ini menunjukkan testimoni dari Hasanudin, S.Pd.I, M.Pd.I, seorang guru di Sekolah SMP Negeri 6 Makassar untuk pelajaran Agama Islam, yang juga merupakan salah satu yang diberi mandat untuk mengembangkan modul metodologi pembelajaran pendidikan Islam, dan H. Munir, S.Ag, M.Ag, kepala sekolah, yang menginginkan metode ini dapat diperluas untuk mata pelajaran lain sehingga semua orang dapat memperoleh manfaatnya. Kemudian, Sahid, S.Ag, seorang guru dari Tamalanrea V Sekolah Dasar Negeri juga berbagi pandangannya. Terakhir, sejumlah catatan dari siswa mengenai metodologi pembelajaran baru ditampilkan.</p>","","","images/thumb/thumb_pt_en/video-Pendidikan-Islam-(Video)-pt.jpg","","images/thumb/thumb_lc_en/video-Pendidikan-Islam-(Video)-lc.jpg","","","","","ACDP Indonesia","","Video; Islamic Education; Islam; Learning Methodology; Method","Video; Pendidikan Agama Islam; Islam; Metodologi Pembelajaran; metode","As the title suggested, this video contains testimonials of teachers & students on new learning methodology for Islamic Religious Education. The first","Sebagaimana tersirat dalam judul, video ini berisi testimoni guru & siswa tentang metodologi pembelajaran baru untuk Pendidikan Agama Islam. Bagian pe","","","11/1/2016 00:00:00","89","1","0","1","1","1","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/DdqWG5x676g?list=UU2XvKK4KFWYvgat8Gcu9dMg"" frameborder=""0"" allowfullscreen></iframe>","6/15/2017 14:20:12","0/0/0000 00:00:00"
"8","70 Years of Indonesia's Independence: Dream of a Nation with No School Drop Outs","70-Years-of-Indonesiaâ€™s-Independence:-Dream-of-a-Nation-with-No-School-Drop-Outs","<p style=""text-align: justify;"">Bidik Jitu or Bincang Pendidikan: Kebijakan dan Mutu is a bi-weekly regular radio talk show program that was initiated by the Analytical and Capacity Development Partnership (ACDP) between 2015 to 2016 to bring together education stakeholders including experts, practitioners, and advocates and build a discourse surrounding important topics related to education. This episode of Bidik Jitu is concerning school drop-out rate in Indonesia. School dropout is a major barrier to achieve universal secondary education and remains a problem for achieving the long-held goal of universal primary education. Millions of children between the ages of 7-19 are not in school. This show describes variety reasons children are out of school; supply-side factors, including a lack of schools and teachers and demand-side factors, including poverty, social norms such as early marriage and low returns to education. It suggests the improvement of education availability and access and support to those at risks to increase enrolment, while presents criticism towards the current School Operational Aid (Bantuan Operasional Sekolah/BOS).</p>","","","70 Tahun Indonesia Merdeka: Negeri Impian Tanpa Anak Putus Sekolah","","<p style=""""text-align: justify;"""">Bidik Jitu atau Bincang Pendidikan: Kebijakan Dan Mutu adalah program radio talk show dwi-minggu yang diprakarsai oleh Kemitraan untuk Pengembangan Kapasitas dan Analisis Sektor Pendidikan (ACDP) antara tahun 2015-2016 untuk mempertemukan para pemangku kepentingan pendidikan termasuk para ahli, praktisi, dan advokat dan untuk membangun wacana sekitar topik penting tentang pendidikan. Episode ini membahas tentang tingkat drop-out/putus sekolah di Indonesia. Putus sekolah merupakan hambatan utama untuk mewujudkan pendidikan menengah universal dan tetap menjadi masalah untuk mencapai tujuan pendidikan dasar universal. Jutaan anak berusia 7-19 tidak bersekolah. Acara ini menggambarkan berbagai alasan anak-anak putus sekolah; faktor supply/ketersediaan, misalnya kurangnya sekolah dan guru dan faktor demand/ permintaan, misalnya kemiskinan, norma-norma sosial seperti pernikahan dini dan manfaat pendidikan yang rendah. Hal ini menunjukkan peningkatan ketersediaan dan akses pendidikan dan dukungan kepada mereka yang berisiko untuk meningkatkan pendaftaran, dan sekaligus juga merupakan kritik terhadap Bantuan Operasional Sekolah saat ini (Bantuan Operasional Sekolah / BOS).</p>","","","images/thumb/thumb_pt_en/bidikjitu-01.jpg","","images/thumb/thumb_lc_en/bidikjitu-01.jpg","","","","","ACDP Indonesia","","Audio; Compulsory Education; Access to Education;Secondary Education;Dropouts;Enrollment","Audio; Wajib Belajar; Akses Pendidikan; Pendidikan Menengah; Putus Sekolah; Partisipasi Sekolah","Bidik Jitu or Bincang Pendidikan: Kebijakan dan Mutu is a bi-weekly regular radio talk show program that was initiated by the Analytical and Capacity ","Bidik Jitu atau Bincang Pendidikan: Kebijakan Dan Mutu adalah program radio talk show dwi-minggu yang diprakarsai oleh Kemitraan untuk Pengembangan Ka","","","9/1/2015 00:00:00","75","1","0","1","1","1","<iframe width=""100%"" height=""450"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/223952611&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true""></iframe>","6/15/2017 14:20:12","0/0/0000 00:00:00"
"9","Education in Rural & Remote Area: the Use of Mother Tongue as Language of Instruction in Early Years of School","Education-in-Rural-&-Remote-Area:-the-Use-of-Mother-Tongue-as-Language-of-Instruction-in-Early-Years-of-School","<p style=""text-align:justify"">Bidik Jitu or Bincang Pendidikan: Kebijakan dan Mutu is a bi-weekly regular radio talk show program that was initiated by the Analytical and Capacity Development Partnership (ACDP) between 2015 to 2016 to bring together education stakeholders including experts, practitioners, and advocates and build a discourse surrounding important topics related to education. This episode of Bidik Jitu elaborates the development objective of Support for Mother Tongue Based, Multi-Lingual Education (MTB-MLE) for Schools in Rural and Remote Areas of Papua, which is to improve quality, relevance and equity in basic education teaching and learning in rural and remote areas of Tanah Papua, through building capacity to develop and implement appropriate and effective MTB-MLE.</p>
","","","Pendidikan di Pedesaan dan Daerah Terpencil: Penggunaan Bahasa Ibu Sebagai Bahasa Pengantar di Kelas-kelas Awal","","<p style=""""text-align: justify;"""">Bidik Jitu atau Bincang Pendidikan: Kebijakan Dan Mutu adalah program radio talk show dwi-minggu yang diprakarsai oleh Kemitraan untuk Pengembangan Kapasitas dan Analisis Sektor Pendidikan (ACDP) antara tahun 2015-2016 untuk mempertemukan para pemangku kepentingan pendidikan termasuk para ahli, praktisi, dan advokat dan untuk membangun wacana se sekitar topik penting tentang pendidikan. Episode Bidik Jitu ini membahas tujuan pengembangan Pendidikan Multi Bahasa Berbasis Bahasa Ibu (PMB-BBI) untuk Sekolah di Pedesaan dan Terpencil di Papua, dalam meningkatkan kualitas, relevansi dan pemerataan pengajaran dan pembelajaran pendidikan dasar di daerah pedesaan dan terpencil Tanah Papua, melalui peningkatan kapasitas dalam mengembangkan dan menerapkan PMB-BBI dengan tepat dan efektif.</p>","","","images/thumb/thumb_pt_en/bidikjitu-02.jpg","","images/thumb/thumb_lc_en/bidikjitu-02.jpg","","","","","ACDP Indonesia","","Audio; Compulsory Education; Access to Education;Multilingual Education;Rural Areas","Audio; Wajib Belajar; Akses Pendidikan; Pendidikan Multibahasa; Daerah Pedesaan","Bidik Jitu or Bincang Pendidikan: Kebijakan dan Mutu is a bi-weekly regular radio talk show program that was initiated by the Analytical and Capacity ","Bidik Jitu atau Bincang Pendidikan: Kebijakan Dan Mutu adalah program radio talk show dwi-minggu yang diprakarsai oleh Kemitraan untuk Pengembangan Ka","","","9/1/2015 00:00:00","96","1","0","1","1","1","","6/15/2017 14:20:12","0/0/0000 00:00:00"
"10","The 12-Year Compulsory Education Five Years of Minimum Service Standards & Public Demand for Quality Education","The-12-Year-Compulsory-Education-Five-Years-of-Minimum-Service-Standards-&-Public-Demand-for-Quality-Education","<p style=""text-align: justify;"">Bidik Jitu or Bincang Pendidikan: Kebijakan dan Mutu is a bi-weekly regular radio talk show program that was initiated by the Analytical and Capacity Development Partnership (ACDP) between 2015 to 2016 to bring together education stakeholders including experts, practitioners, and advocates and build a discourse surrounding important topics related to education. This episode of Bidik Jitu contains discussion on the implementation of Minimum Service Standard for Basic Education (MSS-BE) after five years of its first introduction in 2010. It presented basic knowledge of 27 individual standards that are distributed under school management's responsibilities and district/municipal government's responsibilities. The review argues for low-cost solutions and innovations to meet the standard, and the opportunities to raise parents' awareness, expectation and demands to control the fulfilment of MSS-BE by service providers.</p>","","","Wajib Belajar 12 Tahun: 5 Tahun Standar Pelayanan Minimum dan Tuntutan Publik akan Pendidikan yang Berkualitas","","<p style=""""text-align: justify;"""">Bidik Jitu atau Bincang Pendidikan: Kebijakan Dan Mutu adalah program radio talk show dwi-minggu yang diprakarsai oleh Kemitraan untuk Pengembangan Kapasitas dan Analisis Sektor Pendidikan (ACDP) antara 2015-2016 untuk mempertemukan para pemangku kepentingan pendidikan termasuk para ahli, praktisi, dan advokat dan untuk membangun wacana sekitar topik penting tentang pendidikan. Episode Bidik Jitu ini berisi diskusi tentang pelaksanaan Standar Pelayanan Minimal Pendidikan Dasar (SPM-Dikdas) setelah pertama kali diperkenalkan lima tahun lalu pada tahun 2010. SPM ini berisi tentang pengetahuan dasar dari 27 standar individu yang didistribusikan di bawah tanggung jawab pengelola sekolah dan Pemerintah Kota/ kabupaten. Review mengungkapkan pentingnya solusi dan inovasi berbiaya murah untuk memenuhi standar, dan kesempatan untuk meningkatkan kesadaran, harapan dan tuntutan orang tua dalam mengontrol pemenuhan SPM-Dikdas oleh penyedia layanan.</p>","","","images/thumb/thumb_pt_en/bidikjitu-03.jpg","","images/thumb/thumb_lc_en/bidikjitu-03.jpg","","","","","ACDP Indonesia","","Audio;Compulsory Education; Standards;Educational Quality;State Standards;Elementary Secondary Education;Parent Participation","Audio; Wajib Belajar; Standar; Mutu Sekolah; Standar Negara; Pendidikan Dasar dan Menengah; Partisipasi Orang Tua","Bidik Jitu or Bincang Pendidikan: Kebijakan dan Mutu is a bi-weekly regular radio talk show program that was initiated by the Analytical and Capacity ","Bidik Jitu atau Bincang Pendidikan: Kebijakan Dan Mutu adalah program radio talk show dwi-minggu yang diprakarsai oleh Kemitraan untuk Pengembangan Ka","","","9/1/2015 00:00:00","64","1","0","1","1","1","<iframe width=""100%"" height=""450"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/226365752&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true""></iframe>","6/15/2017 14:20:12","0/0/0000 00:00:00"
